"","Country.Region","RMSE","Rank"
"1","Aruba",NA,191
"2","Afghanistan",9.29502824094688,83
"3","Angola",6.44926180099535,53
"4","Anguilla",NA,192
"5","Albania",17.0946751358427,154
"6","Andorra",11.6465540921863,115
"7","United Arab Emirates",13.6859050851597,130
"8","Argentina",16.7012704706359,152
"9","Armenia",7.04138692146496,60
"10","Antigua and Barbuda",6.75861969800212,58
"11","Australia",12.8939673663479,122
"12","Austria",10.9277537693912,106
"13","Azerbaijan",11.4776522570312,111
"14","Burundi",7.49153003212443,64
"15","Belgium",10.8935555974877,105
"16","Benin",3.09287798372684,14
"17","Burkina Faso",13.2889196868837,126
"18","Bangladesh",14.0548264861419,135
"19","Bulgaria",9.5899099636603,86
"20","Bahrain",12.4291820058012,119
"21","The Bahamas",6.71279095789855,57
"22","Bosnia and Herzegovina",7.78181239957776,68
"23","Belarus",44.8181756755994,190
"24","Belize",4.53335794110968,28
"25","Bermuda",NA,193
"26","Bolivia",20.4030167649569,164
"27","Brazil",22.8357861650914,177
"28","Barbados",10.6083253574204,103
"29","Brunei",10.365552769738,98
"30","Bhutan",9.74017311048537,88
"31","Botswana",3.0659561133338,13
"32","Central African Republic",5.25435216431737,36
"33","Canada",17.721848411244,156
"34","Switzerland",10.0358893311289,93
"35","Chile",13.2038866668535,124
"36","China",22.6894450203907,176
"37","Ivory Coast",9.21345098815374,79
"38","Cameroon",3.5837579283329,21
"39","Democratic Republic of the Congo",13.7217167617208,131
"40","Republic of Congo",2.4670017339993,8
"41","Colombia",23.537155643318,181
"42","Comoros",2.96504015337248,11
"43","Cape Verde",13.1509569656018,123
"44","Costa Rica",16.6913166979454,151
"45","Cuba",16.1176209920833,149
"46","Curaçao",NA,194
"47","Cayman Islands",NA,195
"48","Cyprus",8.7522004725161,74
"49","Czech Republic",5.91853538564324,47
"50","Germany",9.2477316257676,81
"51","Djibouti",6.56934820037558,54
"52","Dominica",2.67507835814621,9
"53","Denmark",11.5807335787601,114
"54","Dominican Republic",14.4098243030387,139
"55","Algeria",22.0956055912583,173
"56","Ecuador",15.4068842837653,141
"57","Egypt",28.5914971665043,186
"58","Eritrea",4.42602302047536,27
"59","Spain",5.20251007794421,35
"60","Estonia",9.99583731137895,91
"61","Ethiopia",16.1309834101265,150
"62","Finland",8.98217746429005,76
"63","Fiji",3.91986323457564,22
"64","Falkland Islands",NA,196
"65","France",12.3497566687679,117
"66","Faroe Islands",NA,197
"67","Federated States of Micronesia",0.250204804998714,1
"68","Gabon",8.85748445603428,75
"69","United Kingdom",10.9524838786054,107
"70","Georgia",8.22961589491136,70
"71","Guernsey",NA,198
"72","Ghana",7.6076029806445,66
"73","Guinea",9.23846312375001,80
"74","Gambia",5.5736075690107,41
"75","Guinea Bissau",5.46681715240027,40
"76","Equatorial Guinea",3.10418180309509,16
"77","Greece",15.6736424469731,146
"78","Grenada",3.10018651768639,15
"79","Greenland",NA,199
"80","Guatemala",16.8470204157557,153
"81","Guyana",7.02578538116716,59
"82","Hong Kong S.A.R.",10.0316790552064,92
"83","Honduras",22.9635391000603,178
"84","Croatia",10.412653317532,100
"85","Haiti",5.67606365949737,43
"86","Hungary",7.10945536279366,61
"87","Indonesia",21.5149023289027,170
"88","Isle of Man",NA,200
"89","India",7.32285917141962,63
"90","Ireland",19.4310974985974,162
"91","Iran",28.1697993958069,185
"92","Iraq",25.0374144209998,184
"93","Iceland",5.9169793344615,46
"94","Israel",6.21561731983772,51
"95","Italy",23.4594316072094,180
"96","Jamaica",9.97155848735124,90
"97","Jersey",NA,201
"98","Jordan",4.69216188031819,29
"99","Japan",15.6406559680568,145
"100","Kazakhstan",11.9998185171462,116
"101","Kenya",11.5274341753344,112
"102","Kyrgyzstan",7.81265911482412,69
"103","Cambodia",6.13164752194166,49
"104","Saint Kitts and Nevis",5.11625468482561,32
"105","South Korea",23.5705009563508,182
"106","Kuwait",22.4774217530985,175
"107","Laos",3.32595713876305,18
"108","Lebanon",13.2417856382321,125
"109","Liberia",6.44616378597035,52
"110","Libya",17.8893717422757,157
"111","Saint Lucia",3.93429138049874,23
"112","Liechtenstein",9.46912545533582,84
"113","Sri Lanka",15.4184646591171,142
"114","Lesotho",4.05998990146527,25
"115","Lithuania",3.50361984239158,20
"116","Luxembourg",10.700938598501,104
"117","Latvia",14.2016315103426,137
"118","Macao S.A.R",NA,202
"119","Morocco",5.97704852842196,48
"120","Monaco",5.35863164540269,38
"121","Moldova",12.4172841546684,118
"122","Madagascar",7.22739109222685,62
"123","Maldives",14.8217449565008,140
"124","Mexico",22.266086838758,174
"125","Marshall Islands",0.312124974969963,2
"126","Macedonia",20.6406070055014,165
"127","Mali",4.79823819518975,31
"128","Malta",17.6336533745374,155
"129","Myanmar",18.3445989084284,158
"130","Montenegro",20.267125647215,163
"131","Mongolia",10.5762996679683,102
"132","Mozambique",9.47742632668689,85
"133","Mauritania",13.4812325186617,128
"134","Montserrat",NA,203
"135","Mauritius",5.81859041731281,45
"136","Malawi",3.23996858695334,17
"137","Malaysia",15.4967927792961,143
"138","Namibia",8.55268306179737,72
"139","New Caledonia",NA,204
"140","Niger",3.05159306301188,12
"141","Nigeria",12.6865098956858,120
"142","Nicaragua",3.43070773391666,19
"143","Netherlands",28.93590737782,188
"144","Norway",11.3394030413128,110
"145","Nepal",9.279588640308,82
"146","Nauru",NA,205
"147","New Zealand",5.74835698265165,44
"148","Oman",11.2749026997526,109
"149","Pakistan",9.72402604091764,87
"150","Panama",10.3392346052414,97
"151","Peru",14.0625031358021,136
"152","Philippines",15.8947739559615,147
"153","Papua New Guinea",6.20030090667649,50
"154","Poland",15.6014318359993,144
"155","Portugal",20.7163169131109,166
"156","Paraguay",13.9871991001296,133
"157","Palestine",9.82535078254207,89
"158","French Polynesia",NA,206
"159","Qatar",24.9660615814527,183
"160","Romania",10.2192712830003,96
"161","Russia",28.9077192266856,187
